win	 Well, thank you very much, Jim, and thanks to the commission and the University of Mississippi, "Ole Miss," for hosting us tonight. I can't think of a more important time for us to talk about the future of the country.
win	You know, we are at a defining moment in our history. Our nation is involved in two wars, and we are going through the worst financial crisis since the Great Depression.
win	And although we've heard a lot about Wall Street, those of you on Main Street I think have been struggling for a while, and you recognize that this could have an impact on all sectors of the economy.
win	And you're wondering, how's it going to affect me? How's it going to affect my job? How's it going to affect my house? How's it going to affect my retirement savings or my ability to send my children to college?
win	So we have to move swiftly, and we have to move wisely. And I've put forward a series of proposals that make sure that we protect taxpayers as we engage in this important rescue effort.
win	No. 1, we've got to make sure that we've got oversight over this whole process; $700 billion, potentially, is a lot of money.
win	No. 2, we've got to make sure that taxpayers, when they are putting their money at risk, have the possibility of getting that money back and gains, if the market -- and when the market returns.
win	No. 3, we've got to make sure that none of that money is going to pad CEO bank accounts or to promote golden parachutes.
win	And, No. 4, we've got to make sure that we're helping homeowners, because the root problem here has to do with the foreclosures that are taking place all across the country.
win	Now, we also have to recognize that this is a final verdict on eight years of failed economic policies promoted by George Bush, supported by Senator , a theory that basically says that we can shred regulations and consumer protections and give more and more to the most, and somehow prosperity will trickle down.
win	It hasn't worked. And I think that the fundamentals of the economy have to be measured by whether or not the middle class is getting a fair shake. That's why I'm running for president, and that's what I hope we're going to be talking about tonight.
win	 We haven't seen the language yet. And I do think that there's constructive work being done out there. So, for the viewers who are watching, I am optimistic about the capacity of us to come together with a plan.
win	The question, I think, that we have to ask ourselves is, how did we get into this situation in the first place?
win	Two years ago, I warned that, because of the subprime lending mess, because of the lax regulation, that we were potentially going to have a problem and tried to stop some of the abuses in mortgages that were taking place at the time.
win	Last year, I wrote to the secretary of the Treasury to make sure that he understood the magnitude of this problem and to call on him to bring all the stakeholders together to try to deal with it.
win	So -- so the question, I think, that we've got to ask ourselves is, yes, we've got to solve this problem short term. And we are going to have to intervene; there's no doubt about that.
win	But we're also going to have to look at, how is it that we shredded so many regulations? We did not set up a 21st-century regulatory framework to deal with these problems. And that in part has to do with an economic philosophy that says that regulation is always bad.
win	 Well, I think Senator 's absolutely right that we need more responsibility, but we need it not just when there's a crisis. I mean, we've had years in which the reigning economic ideology has been what's good for Wall Street, but not what's good for Main Street.
win	And there are folks out there who've been struggling before this crisis took place. And that's why it's so important, as we solve this short-term problem, that we look at some of the underlying issues that have led to wages and incomes for ordinary Americans to go down, the -- a health care system that is broken, energy policies that are not working, because, you know, 10 days ago,  said that the fundamentals of the economy are sound.
win	 I do not think that they are.
win	 Well, the -- , 10 days ago, you said that the fundamentals of the economy are sound. And...
win	 The -- and I just fundamentally disagree. And unless we are holding ourselves accountable day in, day out, not just when there's a crisis for folks who have power and influence and can hire lobbyists, but for the nurse, the teacher, the police officer, who, frankly, at the end of each month, they've got a little financial crisis going on.
win	They're having to take out extra debt just to make their mortgage payments. We haven't been paying attention to them. And if you look at our tax policies, it's a classic example.
win	 Well, Senator  is absolutely right that the earmarks process has been abused, which is why I suspended any requests for my home state, whether it was for senior centers or what have you, until we cleaned it up.
win	And he's also right that oftentimes lobbyists and special interests are the ones that are introducing these kinds of requests, although that wasn't the case with me.
win	 I -- I don't know where  is getting his figures. Let's just be clear.
win	What I do is I close corporate loopholes, stop providing tax cuts to corporations that are shipping jobs overseas so that we're giving tax breaks to companies that are investing here in the United States. I make sure that we have a health care system that allows for everyone to have basic coverage.
win	I think those are pretty important priorities. And I pay for every dime of it.
win	But let's go back to the original point. , nobody is denying that $18 billion is important. And, absolutely, we need earmark reform. And when I'm president, I will go line by line to make sure that we are not spending money unwisely.
win	But the fact is that eliminating earmarks alone is not a recipe for how we're going to get the middle class back on track.
win	 And when you look at your tax policies that are directed primarily at those who are doing well, and you are neglecting people who are really struggling right now, I think that is a continuation of the last eight years, and we can't afford another four.
win	 Well, let me just make a couple of points.
win	 , you want to give oil companies another $4 billion.
win	 That's not true, . That's not true.
win	 Look, it's just not true. And if we want to talk about oil company profits, under your tax plan,  -- this is undeniable -- oil companies would get an additional $4 billion in tax breaks.
win	 No, but, , the fact of the matter is, is that I was opposed to those tax breaks, tried to strip them out. We've got an emergency bill on the Senate floor right now that contains some good stuff, some stuff you want, including drilling off-shore, but you're opposed to it because it would strip away those tax breaks that have gone to oil companies.
win	 Well, there are a range of things that are probably going to have to be delayed. We don't yet know what our tax revenues are going to be. The economy is slowing down, so it's hard to anticipate right now what the budget is going to look like next year.
win	But there's no doubt that we're not going to be able to do everything that I think needs to be done. There are some things that I think have to be done.
win	We have to have energy independence, so I've put forward a plan to make sure that, in 10 years' time, we have freed ourselves from dependence on Middle Eastern oil by increasing production at home, but most importantly by starting to invest in alternative energy, solar, wind, biodiesel, making sure that we're developing the fuel-efficient cars of the future right here in the United States, in Ohio and Michigan, instead of Japan and South Korea.
win	We have to fix our health care system, which is putting an enormous burden on families. Just -- a report just came out that the average deductible went up 30 percent on American families.
win	They are getting crushed, and many of them are going bankrupt as a consequence of health care. I'm meeting folks all over the country. We have to do that now, because it will actually make our businesses and our families better off.
win	The third thing we have to do is we've got to make sure that we're competing in education. We've got to invest in science and technology. China had a space launch and a space walk. We've got to make sure that our children are keeping pace in math and in science.
win	And one of the things I think we have to do is make sure that college is affordable for every young person in America.
win	And I also think that we're going to have to rebuild our infrastructure, which is falling behind, our roads, our bridges, but also broadband lines that reach into rural communities.
win	Also, making sure that we have a new electricity grid to get the alternative energy to population centers that are using them.
win	So there are some -- some things that we've got to do structurally to make sure that we can compete in this global economy. We can't shortchange those things. We've got to eliminate programs that don't work, and we've got to make sure that the programs that we do have are more efficient and cost less.
win	 No. As I said before, Jim, there are going to be things that end up having to be ...
win	 ... deferred and delayed. Well, look, I want to make sure that we are investing in energy in order to free ourselves from the dependence on foreign oil. That is a big project. That is a multi-year project.
win	 Not willing to give up the need to do it but there may be individual components that we can't do. But  is right we have to make cuts. We right now give $15 billion every year as subsidies to private insurers under the Medicare system. Doesn't work any better through the private insurers. They just skim off $15 billion. That was a give away and part of the reason is because lobbyists are able to shape how Medicare works.
win	They did it on the Medicaid prescription drug bill and we have to change the culture. Tom -- or  mentioned me being wildly liberal. Mostly that's just me opposing George Bush's wrong headed policies since I've been in Congress but I think it is that it is also important to recognize I work with Tom Coburn, the most conservative, one of the most conservative Republicans who  already mentioned to set up what we call a Google for government saying we'll list every dollar of federal spending to make sure that the taxpayer can take a look and see who, in fact, is promoting some of these spending projects that 's been railing about.
win	 The problem with a spending freeze is you're using a hatchet where you need a scalpel. There are some programs that are very important that are under funded. I went to increase early childhood education and the notion that we should freeze that when there may be, for example, this Medicare subsidy doesn't make sense.
win	Let me tell you another place to look for some savings. We are currently spending $10 billion a month in Iraq when they have a $79 billion surplus. It seems to me that if we're going to be strong at home as well as strong abroad, that we have to look at bringing that war to a close.
win	 There's no doubt it will affect our budgets. There is no doubt about it. Not only -- Even if we get all $700 billion back, let's assume the markets recover, we' holding assets long enough that eventually taxpayers get it back and that happened during the Great Depression when Roosevelt purchased a whole bunch of homes, over time, home values went back up and in fact government made a profit. If we're lucky and do it right, that could potentially happen but in the short term there's an outlay and we may not see that money for a while.
win	And because of the economy's slowing down, I think we can also expect less tax revenue so there's no doubt that as president I'm go doing have to make some tough decision.
win	The only point I want to make is this, that in order to make the tough decisions we have to know what our values are and who we're fighting for and our priorities and if we are spending $300 billion on tax cuts for people who don't need them and weren't even asking for them, and we are leaving out health care which is crushing on people all across the country, then I think we have made a bad decision and I want to make sure we're not shortchanging our long term priorities.
win	 I just want to make this point, Jim. , it's been your president who you said you agreed with 90 percent of the time who presided over this increase in spending. This orgy of spending and enormous deficits you voted for almost all of his budgets. So to stand here and after eight years and say that you're going to lead on controlling spending and, you know, balancing our tax cuts so that they help middle class families when over the last eight years that hasn't happened I think just is, you know, kind of hard to swallow.
win	 Well, this is an area where Senator  and I have a fundamental difference because I think the first question is whether we should have gone into the war in the first place.
win	Now six years ago, I stood up and opposed this war at a time when it was politically risky to do so because I said that not only did we not know how much it was going to cost, what our exit strategy might be, how it would affect our relationships around the world, and whether our intelligence was sound, but also because we hadn't finished the job in Afghanistan.
win	We hadn't caught bin Laden. We hadn't put al Qaeda to rest, and as a consequence, I thought that it was going to be a distraction. Now Senator  and President Bush had a very different judgment.
win	And I wish I had been wrong for the sake of the country and they had been right, but that's not the case. We've spent over $600 billion so far, soon to be $1 trillion. We have lost over 4,000 lives. We have seen 30,000 wounded, and most importantly, from a strategic national security perspective, al Qaeda is resurgent, stronger now than at any time since 2001.
win	We took our eye off the ball. And not to mention that we are still spending $10 billion a month, when they have a $79 billion surplus, at a time when we are in great distress here at home, and we just talked about the fact that our budget is way overstretched and we are borrowing money from overseas to try to finance just some of the basic functions of our government.
win	So I think the lesson to be drawn is that we should never hesitate to use military force, and I will not, as president, in order to keep the American people safe. But we have to use our military wisely. And we did not use our military wisely in Iraq.
win	 Which point? He raised a whole bunch of them.
win	 Look, I'm very proud of my vice presidential selection, Joe Biden, who is the chairman of the Senate Foreign Relations Committee, and as he explains, and as  well knows, the issues of Afghanistan, the issues of Iraq, critical issues like that, don't go through my subcommittee because they're done as a committee as a whole.
win	But that's Senate inside baseball. But let's get back to the core issue here. Senator  is absolutely right that the violence has been reduced as a consequence of the extraordinary sacrifice of our troops and our military families.
win	They have done a brilliant job, and General Petraeus has done a brilliant job. But understand, that was a tactic designed to contain the damage of the previous four years of mismanagement of this war.
